"Age","Year","naa","baa","ssb","faa","caa","retro_year","Model"
0,1993,314070.857182263,51624.6722737961,0,0.569193499642874,120295.3533,0,"No-age0-index"
1,1993,300903.010519272,310075.136687726,0,1.91960788199079,226599.8176,0,"No-age0-index"
2,1993,27483.1623876669,45010.9291276383,22505.4645638191,1.44869905975608,18557.17734,0,"No-age0-index"
3,1993,9055.39801312014,25974.935032829,25974.935032829,1.44869905975608,6114.384671,0,"No-age0-index"
0,1994,243889.774407239,40088.8187705906,0,0.515790793368356,86732.39694,0,"No-age0-index"
1,1994,138438.352830884,142658.230978752,0,1.49482002148711,94769.71637,0,"No-age0-index"
2,1994,34369.8630627178,56289.718359953,28144.8591799765,1.2420827995811,21572.16137,0,"No-age0-index"
3,1994,6683.68239580348,19171.792974701,19171.792974701,1.2420827995811,4194.99708,0,"No-age0-index"
0,1995,135723.473565615,22309.232717571,0,0.607402269727596,54526.1181,0,"No-age0-index"
1,1995,113400.475638179,116857.149163383,0,1.46497869509062,76949.81445,0,"No-age0-index"
2,1995,24181.9164364623,39604.2679346289,19802.1339673144,0.966836929973387,13225.02839,0,"No-age0-index"
3,1995,9233.0958304224,26484.6519169697,26484.6519169697,0.966836929973387,5049.556548,0,"No-age0-index"
0,1996,156845.434354584,25781.1062727723,0,0.722043607819207,71179.04524,0,"No-age0-index"
1,1996,57582.4171608605,59337.6445159227,0,1.10700289370774,34019.06844,0,"No-age0-index"
2,1996,20408.4063210989,33424.1495781887,16712.0747890944,0.90456052078098,10721.20953,0,"No-age0-index"
3,1996,9896.37311598627,28387.2280794211,28387.2280794211,0.90456052078098,5198.891481,0,"No-age0-index"
0,1997,359672.614326082,59120.3558554558,0,0.961720905738611,196084.9181,0,"No-age0-index"
1,1997,59336.0601432961,61144.7420472561,0,1.22424611198021,36969.99269,0,"No-age0-index"
2,1997,14823.5090489091,24277.40686504,12138.70343252,0.944251232903258,7993.30236,0,"No-age0-index"
3,1997,9551.94612536677,27399.2572920596,27399.2572920596,0.944251232903258,5150.709812,0,"No-age0-index"
0,1998,136984.963536757,22516.5872200586,0,0.635942391472364,56885.88181,0,"No-age0-index"
1,1998,107068.980819688,110332.657707171,0,1.80243565793229,78907.27101,0,"No-age0-index"
2,1998,13585.0660664708,22249.1297503159,11124.5648751579,0.894860920784134,7089.391284,0,"No-age0-index"
3,1998,7384.07354812377,21180.8283205498,21180.8283205498,0.894860920784134,3853.392129,0,"No-age0-index"
0,1999,1143658.45727298,187986.219350527,0,0.584357777885869,446640.7816,0,"No-age0-index"
1,1999,56482.382373316,58204.0784657842,0,1.34056915682452,36801.11845,0,"No-age0-index"
2,1999,13749.9838473018,22519.2261256953,11259.6130628476,0.810383621552713,6738.339257,0,"No-age0-index"
3,1999,6673.8098845533,19143.4741931342,19143.4741931342,0.810383621552713,3270.578034,0,"No-age0-index"
0,2000,347348.55054356,57094.616315143,0,0.375294368611206,95918.48219,0,"No-age0-index"
1,2000,496522.995760472,511658.010710288,0,2.0018465526298,378988.1924,0,"No-age0-index"
2,2000,11511.6505783032,18853.3648716737,9426.68243583686,1.1964411583168,7088.256338,0,"No-age0-index"
3,2000,7073.22804412471,20289.1842691317,20289.1842691317,1.1964411583168,4355.314051,0,"No-age0-index"
0,2001,1237849.60216735,203468.671399376,0,0.239162014886184,232367,0,"No-age0-index"
1,2001,185867.559728751,191533.175056138,0,1.34089996990723,121116.2796,0,"No-age0-index"
2,2001,52236.5920020803,85551.2006700549,42775.6003350274,1.56948023271635,36503.04645,0,"No-age0-index"
3,2001,4375.00260163261,12549.4658745219,12549.4658745219,1.56948023271635,3057.26153,0,"No-age0-index"
0,2002,262244.070943464,43105.7639020161,0,0.251104475523357,51391,0,"No-age0-index"
1,2002,758975.081729684,782110.161688918,0,1.66288368041953,542806.0893,0,"No-age0-index"
2,2002,37869.0594647526,62020.5756402765,31010.2878201383,0.897044988239748,19791.83303,0,"No-age0-index"
3,2002,9177.30495064989,26324.6186997201,26324.6186997201,0.897044988239748,4796.414007,0,"No-age0-index"
0,2003,58514.7626376792,9618.22905649635,0,0.298305519701066,13319.03538,0,"No-age0-index"
1,2003,158883.489485878,163726.576330153,0,1.70883827084515,114824.7587,0,"No-age0-index"
2,2003,112065.695471454,183537.141954548,91768.5709772741,0.910091463572185,59092.57859,0,"No-age0-index"
3,2003,14940.6935972407,42856.5972441463,42856.5972441463,0.910091463572185,7878.272712,0,"No-age0-index"
0,2004,97566.8669964281,16037.3285782088,0,0.355054534009353,25732.99331,0,"No-age0-index"
1,2004,33817.3354951973,34848.1555833966,0,1.12440192166796,20149.06858,0,"No-age0-index"
2,2004,22406.0921359453,36695.8871374621,18347.943568731,1.01430805658468,12602.45233,0,"No-age0-index"
3,2004,39811.1064243025,114196.074149146,114196.074149146,1.01430805658468,22392.01588,0,"No-age0-index"
0,2005,252792.688478747,41552.214723169,0,0.23461853743268,46654,0,"No-age0-index"
1,2005,53275.8655283367,54899.8205679232,0,1.30817152370254,34306.76729,0,"No-age0-index"
2,2005,8555.47675323347,14011.8503235188,7005.92516175938,0.543674395345934,3166.463666,0,"No-age0-index"
3,2005,17572.29315631,50405.2027808887,50405.2027808887,0.543674395345934,6503.673543,0,"No-age0-index"
0,2006,508491.704115954,83582.1502652068,0,0.336955611692495,128367,0,"No-age0-index"
1,2006,155703.133248792,160449.276467888,0,1.31068357886922,100357.5598,0,"No-age0-index"
2,2006,11215.66992116,18368.6184588007,9184.30922940035,0.588618235899197,4403.590261,0,"No-age0-index"
3,2006,11814.4615309514,33889.1642608849,33889.1642608849,0.588618235899197,4638.692838,0,"No-age0-index"
0,2007,330855.763952805,54383.6525846391,0,0.328317860802956,81715.02349,0,"No-age0-index"
1,2007,282730.257456741,291348.441729998,0,1.96142346446775,214413.185,0,"No-age0-index"
2,2007,32696.4864263822,53549.1226410358,26774.5613205179,0.888581943318241,16988.44699,0,"No-age0-index"
3,2007,9956.09758198117,28558.5445827753,28558.5445827753,0.888581943318241,5172.991183,0,"No-age0-index"
0,2008,459699.822717372,75562.0973719772,0,0.169737709534932,63332.84732,0,"No-age0-index"
1,2008,185557.47292558,191213.636186412,0,1.1627061029279,112558.0408,0,"No-age0-index"
2,2008,30971.5742694923,50724.1239109037,25362.0619554518,0.898023667428829,16197.84329,0,"No-age0-index"
3,2008,13660.4652812398,39184.3293562928,39184.3293562928,0.898023667428829,7144.29541,0,"No-age0-index"
0,2009,131792.819172661,21663.1404736796,0,0.288287669572209,29129.49896,0,"No-age0-index"
1,2009,302123.540318312,311332.870678542,0,1.27807025910382,192348.7327,0,"No-age0-index"
2,2009,45180.1828522021,73994.4690370417,36997.2345185209,0.725887407950136,20577.8155,0,"No-age0-index"
3,2009,14160.102249734,40617.5118379279,40617.5118379279,0.725887407950136,6449.375659,0,"No-age0-index"
0,2010,102044.102383467,16773.2638114941,0,0.229248977666935,18449.23336,0,"No-age0-index"
1,2010,76933.6581688156,79278.7500909848,0,0.924328930220054,40953.65127,0,"No-age0-index"
2,2010,65546.8889603846,107350.323515063,53675.1617575314,0.999661534882341,36557.76351,0,"No-age0-index"
3,2010,22362.848021689,64146.6585644039,64146.6585644039,0.999661534882341,12472.5326,0,"No-age0-index"
0,2011,97378.9140385001,16006.4342445449,0,0.26935611407952,20292.10543,0,"No-age0-index"
1,2011,63190.6355488023,65116.8126279821,0,0.8719886471001,32448.89542,0,"No-age0-index"
2,2011,23774.5228311167,38937.053425665,19468.5267128325,0.74455284102836,11016.11472,0,"No-age0-index"
3,2011,25195.0875513596,72270.7893507056,72270.7893507056,0.74455284102836,11674.34471,0,"No-age0-index"
0,2012,105107.289168258,17276.768069409,0,0.256834920951076,21009.80926,0,"No-age0-index"
1,2012,57931.0543189318,59696.9088325436,0,1.00829876850093,32471.94919,0,"No-age0-index"
2,2012,20576.8667477455,33700.0479707261,16850.0239853631,0.702898611507479,9167.618518,0,"No-age0-index"
3,2012,18113.3107473777,51957.0834115623,51957.0834115623,0.702898611507479,8070.029566,0,"No-age0-index"
0,2013,238905.863696809,39269.5999504296,0,0.212956710709605,40439.77241,0,"No-age0-index"
1,2013,63316.547514909,65246.5626428915,0,0.5795297133604,24576.69155,0,"No-age0-index"
2,2013,16460.3558866769,26958.1754013648,13479.0877006824,0.539034913062878,6052.914271,0,"No-age0-index"
3,2013,14919.7694884003,42796.5775335866,42796.5775335866,0.539034913062878,5486.399339,0,"No-age0-index"
0,2014,218102.477430087,35850.0913470527,0,0.186754677521366,32788.60624,0,"No-age0-index"
1,2014,150372.099834374,154955.74248227,0,0.909532915211486,79261.81983,0,"No-age0-index"
2,2014,27622.1226173369,45238.5131647666,22619.2565823833,0.610544392278102,11138.68756,0,"No-age0-index"
3,2014,14255.4576962117,40891.0339430519,40891.0339430519,0.610544392278102,5748.547695,0,"No-age0-index"
0,2015,119211.911425299,19595.182799442,0,0.209668551082094,19899.0524,0,"No-age0-index"
1,2015,140922.536765499,145218.13781303,0,1.52877876681998,97401.61806,0,"No-age0-index"
2,2015,47161.5986099088,77239.5600853174,38619.7800426587,1.04431648942435,26972.55535,0,"No-age0-index"
3,2015,17711.3595355724,50804.1074078702,50804.1074078702,1.04431648942435,10129.44089,0,"No-age0-index"
0,2016,145896.921613291,23981.4697600897,0,0.18119595314453,21338.09099,0,"No-age0-index"
1,2016,75281.4778620935,77576.2080208488,0,0.752914895607089,35145.02416,0,"No-age0-index"
2,2016,23793.955740702,38968.8799419789,19484.4399709895,1.21885539730616,14791.7222,0,"No-age0-index"
3,2016,17780.713842354,51003.0466052735,51003.0466052735,1.21885539730616,11053.5374,0,"No-age0-index"
0,2017,80168.6122230812,13177.530605012,0,0.448325181802447,25561.66671,0,"No-age0-index"
1,2017,94793.8390523947,97683.3450439774,0,0.69825703648004,42040.82207,0,"No-age0-index"
2,2017,27613.8993721275,45225.0454312467,22612.5227156234,0.69803339603351,12243.98146,0,"No-age0-index"
3,2017,9570.02383095114,27451.1122439255,27451.1122439255,0.69803339603351,4243.341108,0,"No-age0-index"
0,2018,107067.604913833,17598.9904456792,0,0.315997082140244,25600.11204,0,"No-age0-index"
1,2018,39877.2862806087,41092.8258007688,0,0.710374129239173,17896.3162,0,"No-age0-index"
2,2018,36724.6208254646,60146.2554380629,30073.1277190315,0.373527332057776,10101.92805,0,"No-age0-index"
3,2018,14408.8574100515,41331.0529897322,41331.0529897322,0.373527332057776,3963.478385,0,"No-age0-index"
0,2019,119233.075466003,19598.6615897861,0,0.139684562519271,13717.63524,0,"No-age0-index"
1,2019,60792.3149673547,62645.3864337742,0,0.82708591245604,30187.13719,0,"No-age0-index"
2,2019,15263.0181679261,24997.2190004841,12498.6095002421,0.40609965819844,4495.551486,0,"No-age0-index"
3,2019,27410.1152785036,78624.4804005214,78624.4804005214,0.40609965819844,8073.343235,0,"No-age0-index"
0,2020,46440.8525469439,7633.60795191622,0,0.227840822329757,8350.430578,0,"No-age0-index"
1,2020,80753.0419308498,83214.5563164921,0,0.497194944023721,27918.90488,0,"No-age0-index"
2,2020,20705.0474332281,33909.977660345,16954.9888301725,0.334197544831789,5190.889497,0,"No-age0-index"
3,2020,22141.8590839957,63512.7633682744,63512.7633682744,0.334197544831789,5551.107484,0,"No-age0-index"
0,2021,99761.4133526306,16398.0520704966,0,0.227840822329757,17937.8868146796,0,"No-age0-index"
1,2021,28798.9432097309,29676.7926542478,0,0.678218328572978,12516.3577302889,0,"No-age0-index"
2,2021,38252.1852109899,62648.0451275071,31324.0225637535,0.371274845029335,10469.7228766494,0,"No-age0-index"
3,2021,23889.4252844955,68525.5655065993,68525.5655065993,0.371274845029335,6538.59801816578,0,"No-age0-index"
0,1993,314070.857170178,51624.6722718096,0,0.569193499672381,120295.3533,1,"No-age0-index"
1,1993,300903.010515409,310075.136683745,0,1.91960788206548,226599.8176,1,"No-age0-index"
2,1993,27483.1623871018,45010.9291267129,22505.4645633564,1.44869905982305,18557.17734,1,"No-age0-index"
3,1993,9055.39801293396,25974.9350322949,25974.9350322949,1.44869905982305,6114.384671,1,"No-age0-index"
0,1994,243889.774380419,40088.8187661822,0,0.51579079344258,86732.39694,1,"No-age0-index"
1,1994,138438.352821472,142658.230969053,0,1.49482002172224,94769.71637,1,"No-age0-index"
2,1994,34369.8630597092,56289.7183550257,28144.8591775129,1.24208279979668,21572.16137,1,"No-age0-index"
3,1994,6683.68239521843,19171.7929730228,19171.7929730228,1.24208279979668,4194.99708,1,"No-age0-index"
0,1995,135723.473517482,22309.2327096592,0,0.607402270023956,54526.1181,1,"No-age0-index"
1,1995,113400.475617291,116857.149141858,0,1.46497869570351,76949.81445,1,"No-age0-index"
2,1995,24181.9164291323,39604.2679226241,19802.1339613121,0.966836930467351,13225.02839,1,"No-age0-index"
3,1995,9233.09582762369,26484.6519089417,26484.6519089417,0.966836930467351,5049.556548,1,"No-age0-index"
0,1996,156845.434241177,25781.1062541313,0,0.722043608584653,71179.04524,1,"No-age0-index"
1,1996,57582.4171233743,59337.6444772938,0,1.1070028950262,34019.06844,1,"No-age0-index"
2,1996,20408.4063048318,33424.149551547,16712.0747757735,0.904560521953363,10721.20953,1,"No-age0-index"
3,1996,9896.37310809806,28387.2280567942,28387.2280567942,0.904560521953363,5198.891481,1,"No-age0-index"
0,1997,359672.614045206,59120.3558092876,0,0.961720907000729,196084.9181,1,"No-age0-index"
1,1997,59336.0600549746,61144.7419562425,0,1.22424611555498,36969.99269,1,"No-age0-index"
2,1997,14823.5090197148,24277.4068172266,12138.7034086133,0.944251235997063,7993.30236,1,"No-age0-index"
3,1997,9551.94610655457,27399.2572380978,27399.2572380978,0.944251235997063,5150.709812,1,"No-age0-index"
0,1998,136984.963007954,22516.5871331378,0,0.635942394903404,56885.88181,1,"No-age0-index"
1,1998,107068.980600942,110332.657481758,0,1.80243566827905,78907.27101,1,"No-age0-index"
2,1998,13585.065997686,22249.1296376626,11124.5648188313,0.894860928110659,7089.391284,1,"No-age0-index"
3,1998,7384.07351073624,21180.8282133057,21180.8282133057,0.894860928110659,3853.392129,1,"No-age0-index"
0,1999,1143658.44933447,187986.218045653,0,0.584357783396164,446640.7816,1,"No-age0-index"
1,1999,56482.3819614838,58204.0780413985,0,1.34056917739497,36801.11845,1,"No-age0-index"
2,1999,13749.9836769424,22519.2258466867,11259.6129233434,0.81038363702472,6738.339257,1,"No-age0-index"
3,1999,6673.80980186618,19143.4739559505,19143.4739559505,0.81038363702472,3270.578034,1,"No-age0-index"
0,2000,347348.522895459,57094.6117705502,0,0.375294404861517,95918.48219,1,"No-age0-index"
1,2000,496522.989577953,511658.004339315,0,2.00184663235398,378988.1924,1,"No-age0-index"
2,2000,11511.650257568,18853.3643463851,9426.68217319254,1.19644122263081,7088.256338,1,"No-age0-index"
3,2000,7073.22784705186,20289.1837038385,20289.1837038385,1.19644122263081,4355.314051,1,"No-age0-index"
0,2001,1237849.4015192,203468.6384183,0,0.239162058681481,232367,1,"No-age0-index"
1,2001,185867.538196389,191533.152867426,0,1.34090029688588,121116.2796,1,"No-age0-index"
2,2001,52236.5871871305,85551.1927843042,42775.5963921521,1.56948058336707,36503.04645,1,"No-age0-index"
3,2001,4375.00219836322,12549.4647177648,12549.4647177648,1.56948058336707,3057.26153,1,"No-age0-index"
0,2002,262243.971270749,43105.7475185437,0,0.251104584014001,51391,1,"No-age0-index"
1,2002,758974.925464748,782110.000660715,0,1.66288456049418,542806.0893,1,"No-age0-index"
2,2002,37869.042695332,62020.5481759262,31010.2740879631,0.8970456313773,19791.83303,1,"No-age0-index"
3,2002,9177.30088669666,26324.6070424831,26324.6070424831,0.8970456313773,4796.414007,1,"No-age0-index"
0,2003,58514.6576924318,9618.21180636352,0,0.298306143069517,13319.03538,1,"No-age0-index"
1,2003,158883.41186069,163726.496338794,0,1.70884048041228,114824.7587,1,"No-age0-index"
2,2003,112065.5737722,183536.942639912,91768.471319956,0.910093075742091,59092.57859,1,"No-age0-index"
3,2003,14940.6773721929,42856.5507034461,42856.5507034461,0.910093075742091,7878.272712,1,"No-age0-index"
0,2004,97566.6300454153,16037.289629933,0,0.355055569224153,25732.99331,1,"No-age0-index"
1,2004,33817.2537637564,34848.0713606178,0,1.12440694481462,20149.06858,1,"No-age0-index"
2,2004,22406.031681388,36695.7881271752,18347.8940635876,1.01431279845067,12602.45233,1,"No-age0-index"
3,2004,39810.999008748,114195.766033253,114195.766033253,1.01431279845067,22392.01588,1,"No-age0-index"
0,2005,252791.44405558,41552.0101739831,0,0.234619839132132,46654,1,"No-age0-index"
1,2005,53275.6809907024,54899.6304052123,0,1.30818087400665,34306.76729,1,"No-age0-index"
2,2005,8555.41310072334,14011.7460757404,7005.87303787018,0.543679769469042,3166.463666,1,"No-age0-index"
3,2005,17572.1624189355,50404.8277675758,50404.8277675758,0.543679769469042,6503.673543,1,"No-age0-index"
0,2006,508488.837717788,83581.6791076239,0,0.336957870347377,128367,1,"No-age0-index"
1,2006,155702.164091055,160448.277768283,0,1.31070043918391,100357.5598,1,"No-age0-index"
2,2006,11215.5262031058,18368.3830825708,9184.19154128541,0.58862850650473,4403.590261,1,"No-age0-index"
3,2006,11814.310139957,33888.7300037449,33888.7300037449,0.58862850650473,4638.692838,1,"No-age0-index"
0,2007,330845.499685724,54381.9654194277,0,0.328329917878472,81715.02349,1,"No-age0-index"
1,2007,282728.025103605,291346.141330269,0,1.96147170431337,214413.185,1,"No-age0-index"
2,2007,32695.7316455781,53547.8864883397,26773.9432441699,0.888614994165853,16988.44699,1,"No-age0-index"
3,2007,9955.86775082314,28557.8853241331,28557.8853241331,0.888614994165853,5172.991183,1,"No-age0-index"
0,2008,459669.048930676,75557.0390018149,0,0.169750094534747,63332.84732,1,"No-age0-index"
1,2008,185549.47910634,191205.398699558,0,1.16280082624179,112558.0408,1,"No-age0-index"
2,2008,30969.8357111216,50721.2765628983,25360.6382814492,0.898105336112275,16197.84329,1,"No-age0-index"
3,2008,13659.6984646726,39182.1297831226,39182.1297831226,0.898105336112275,7144.29541,1,"No-age0-index"
0,2009,131762.488073209,21658.1548692113,0,0.288364590212371,29129.49896,1,"No-age0-index"
1,2009,302099.573669135,311308.173477917,0,1.27827573091947,192348.7327,1,"No-age0-index"
2,2009,45173.9572595183,73984.2729865612,36992.1364932806,0.726034405967438,20577.8155,1,"No-age0-index"
3,2009,14158.1510617706,40611.9149574248,40611.9149574248,0.726034405967438,6449.375659,1,"No-age0-index"
0,2010,101988.829670791,16764.1784869174,0,0.229388623276163,18449.23336,1,"No-age0-index"
1,2010,76910.0362848107,79254.4081646643,0,0.924795941027437,40953.65127,1,"No-age0-index"
2,2010,65528.2237152378,107319.754251795,53659.8771258977,1.00015083281636,36557.76351,1,"No-age0-index"
3,2010,22356.4799385179,64128.3920512796,64128.3920512796,1.00015083281636,12472.5326,1,"No-age0-index"
0,2011,97289.6172698828,15991.7562943003,0,0.269639879671047,20292.10543,1,"No-age0-index"
1,2011,63147.5891168877,65072.4540546439,0,0.872937765360286,32448.89542,1,"No-age0-index"
2,2011,23756.126089356,38906.9239075299,19453.4619537649,0.745409306576017,11016.11472,1,"No-age0-index"
3,2011,25175.5915756628,72214.8661652869,72214.8661652869,0.745409306576017,11674.34471,1,"No-age0-index"
0,2012,104850.39546482,17234.5417598171,0,0.257552644676534,21009.80926,1,"No-age0-index"
