"Year","0","1","2","3","4","5","6","7","8","9","10"
2004,36.9878503464432,37.4657714823395,37.8160880531086,37.4478441145878,32.8412212298939,39.7463124080259,36.0332000517916,35.1917323142182,32.4726166502618,32.1541835750935,26.2801264132033
2005,55.7758925718892,55.9239287793467,55.923617435715,56.2034255920403,54.5896425409884,54.0681989047249,54.8133607253265,55.7716391690443,53.400870213661,54.1891766768773,49.6007787979142
2006,151.508193634754,155.666356911416,150.579162267117,150.235185485766,163.267114242923,129.355293599268,144.659579289055,152.431772962167,158.304255937237,163.030958781204,174.777759275556
2007,45.9902206083259,44.615541274773,46.8176869712662,46.9562203179472,41.9138508190423,43.4270300702928,45.8597513846754,41.9365304999731,41.724523004463,39.9696846251811,43.8390502528822
2008,59.7012952183838,60.9799958920509,58.1178230680424,59.3092938478393,70.3752242278317,46.899000721658,58.620551855597,63.9336534181234,67.3194586201538,70.7697263960579,81.7869723369194
2009,36.2140731617595,37.0202872580337,37.893366456812,36.184945994863,33.5924296178431,41.0195425189143,34.0465670486673,33.086668187857,33.6271084929031,32.7622524049841,33.4672458500886
2010,27.1016713117086,27.6489435446179,28.9997912049719,27.1248681070819,23.9259290835911,35.8645056453181,25.5251281348277,23.9072022926812,23.9463354447218,23.3320153774901,22.6439100916894
2011,14.6542909637852,14.4470107126191,15.5529344402765,14.8670581614488,12.1942569059971,20.1515879048285,14.6686363507765,13.3471942526857,12.4916286550335,11.7616385745205,8.57843112906222
2012,20.5491225204409,20.825791462862,20.8210609811944,20.5726041523005,20.8541612343219,23.4819755596123,20.4508419364727,20.9073234852792,19.986090163566,20.5500176482625,NA
2013,39.0831358008472,39.4252688842498,38.5967922495428,39.2279549422647,40.7332036125631,41.254456637677,39.983705974842,41.7680526436295,35.9469822413675,NA,NA
2014,38.4839530161693,39.6493877391928,38.3184325714751,38.266410784338,44.2857568406647,35.7796816861927,39.5884880761175,46.0443780835985,NA,NA,NA
2015,52.3876834977077,54.0888132179168,52.8622576957438,52.8761713553267,56.148355550576,61.6936303842991,65.6712165463949,NA,NA,NA,NA
2016,15.9496797796635,15.7805101331723,16.3246445764631,16.7292335437701,15.0808141323427,24.3173107978909,NA,NA,NA,NA,NA
2017,7.30278466510622,7.17644279919577,8.22958989827882,8.20590543809949,5.11060642000256,NA,NA,NA,NA,NA,NA
2018,13.4501717277575,14.0713129577467,16.2843305717881,15.8735747643877,NA,NA,NA,NA,NA,NA,NA
2019,11.4812342553465,11.9652328712153,15.1312138763774,NA,NA,NA,NA,NA,NA,NA,NA
2020,4.63294227119379,5.03623962036604,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,7.73357354321974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
