"","id","family","a_key","b_key","c_key","convergence","pdHess","N","npar","loglik","AIC","AICc","BIC","SD_est","dAIC","dAICc","dBIC"
"1",108,2,2,1,4,0,1,105,5,-253.262712951364,516.525425902727,517.131486508788,529.795227653515,TRUE,8.61716015295616,0,0
"2",109,2,3,1,4,0,1,105,6,-253.151504615796,518.303009231591,519.160152088734,534.226771332536,TRUE,10.3947434818202,2.02866557994628,4.43154367902162
"3",113,2,2,2,4,0,1,105,6,-253.262712971542,518.525425943084,519.382568800227,534.449188044029,TRUE,10.6171601933132,2.25108229143927,4.65396039051461
"4",58,2,2,1,2,0,1,105,6,-253.651364095701,519.302728191402,520.159871048545,535.226490292347,TRUE,11.3944624416311,3.02838453975721,5.43126263883244
"5",123,2,2,4,4,0,1,105,5,-254.78350530027,519.567010600539,520.1730712066,532.836812351327,TRUE,11.6587448507682,3.04158469781203,3.04158469781203
"6",12,2,1,2,0,0,1,105,22,-231.954132874886,507.908265749771,520.249729164405,566.295393453237,TRUE,0,3.11824265561734,36.5001657997218
"7",8,2,2,1,0,0,1,105,22,-232.298808890942,508.597617781885,520.939081196519,566.98474548535,TRUE,0.689352032113561,3.8075946877309,37.1895178318354
"8",114,2,3,2,4,0,1,105,7,-253.151504639969,520.303009279938,521.457648455196,538.880731731041,TRUE,12.394743530167,4.32616194640798,9.08550407752591
"9",83,2,2,1,3,0,1,105,7,-253.221172460424,520.442344920847,521.596984096105,539.02006737195,TRUE,12.5340791710763,4.46549758731726,9.22483971843531
"10",59,2,3,1,2,0,1,105,7,-253.572220753815,521.14444150763,522.299080682888,539.722163958733,TRUE,13.2361757578593,5.16759417410026,9.92693630521808
"11",63,2,2,2,2,0,1,105,7,-253.651364115235,521.302728230471,522.457367405729,539.880450681573,TRUE,13.3944624806997,5.3258808969407,10.0852230280586
"12",17,2,1,3,0,0,1,105,23,-231.502031327451,509.004062654901,522.633692284531,570.045150708524,TRUE,1.09579690512999,5.50220577574282,40.2499230550093
"13",9,2,3,1,0,0,1,105,23,-231.614446955158,509.228893910316,522.858523539946,570.269981963939,TRUE,1.32062816054503,5.72703703115792,40.4747543104244
"14",110,2,4,1,4,0,1,105,4,-257.293529954109,522.587059908218,522.987059908218,533.202901308848,TRUE,14.678794158447,5.85557339943023,3.40767365533338
"15",14,2,3,2,0,0,1,105,24,-230.021166589294,508.042333178588,523.042333178588,571.737381582368,TRUE,0.134067428816593,5.91084666979975,41.9421539288535
"16",112,2,1,2,4,0,1,105,5,-256.354801533348,522.709603066695,523.315663672756,535.979404817483,TRUE,14.8013373169242,6.184177163968,6.184177163968
"17",13,2,2,2,0,0,1,105,23,-231.954132860782,509.908265721564,523.537895351193,570.949353775187,TRUE,1.99999997179282,6.40640884240565,41.1541261216721
"18",84,2,3,1,3,0,1,105,8,-253.14141371629,522.282827432581,523.782827432581,543.514510233841,TRUE,14.3745616828097,6.65134092379287,13.7192825803262
"19",88,2,2,2,3,0,1,105,8,-253.221172485618,522.442344971235,523.942344971235,543.674027772495,TRUE,14.5340792214642,6.81085846244741,13.8788001189806
"20",102,2,1,0,4,0,1,105,21,-235.724222852001,513.448445704002,524.580975824484,569.18161305731,TRUE,5.54017995423129,7.44948931569638,39.3863854037955
"21",10,2,4,1,0,0,1,105,21,-235.733463923927,513.466927847855,524.599457968336,569.200095201163,TRUE,5.55866209808352,7.46797145954861,39.4048675476479
"22",64,2,3,2,2,0,1,105,8,-253.565244105895,523.130488211791,524.630488211791,544.362171013051,TRUE,15.2222224620199,7.49900170300316,14.5669433595364
"23",98,2,2,4,3,0,1,105,7,-254.761316368643,523.522632737285,524.677271912543,542.100355188388,TRUE,15.6143669875144,7.54578540375542,12.3051275348733
"24",68,2,2,3,2,0,1,105,8,-253.651071300147,523.302142600294,524.802142600294,544.533825401554,TRUE,15.3938768505229,7.67065609150609,14.7385977480393
"25",33,2,2,1,1,0,1,105,5,-257.171362001005,524.342724002009,524.94878460807,537.612525752797,TRUE,16.4344582522382,7.81729809928208,7.81729809928208
"26",117,2,1,3,4,0,1,105,6,-256.305227844229,524.610455688457,525.4675985456,540.534217789402,TRUE,16.7021899386861,8.33611203681221,10.7389901358875
"27",60,2,4,1,2,0,1,105,5,-257.466623070677,524.933246141354,525.539306747415,538.203047892142,TRUE,17.024980391583,8.40782023862687,8.40782023862687
"28",19,2,3,3,0,0,1,105,25,-229.626899013215,509.253798026429,525.709494228961,575.602806780367,TRUE,1.3455322766581,8.57800772017299,45.8075791268525
"29",18,2,2,3,0,0,1,105,24,-231.502031321368,511.004062642735,526.004062642735,574.699111046516,TRUE,3.09579689296402,8.87257613394729,44.9038833930008
"30",7,2,1,1,0,0,1,105,21,-236.462998633889,514.925997267778,526.05852738826,570.659164621086,TRUE,7.017731518007,8.92704087947209,40.8639369675712
"31",62,2,1,2,2,0,1,105,6,-256.652673080671,525.305346161343,526.162489018486,541.229108262288,TRUE,17.3970804115718,9.03100250969794,11.4338806087733
